Question,Answer A,Answer B,Answer C,Answer D,Answer E
"Nella tavola periodica, gli alogeni sono gli elementi che si trovano in corrispondenza del numero:
",5,4,3,2,1
"Un processo che avviene senza che vi sia ingresso di materia o energia nel sistema termodinamico considerato, come viene definito?",Spontaneo,Endotermico,Catalitico,In equilibrio,Nessuna delle alternative è corretta
Le molecole dette fosfolipidi:,possiedono una testa polare e una coda apolare formata da due acidi grassi,nessuna delle altre alternative è corretta,non sono presenti nella membrana cellulare,sono molecole formate da catene di atomi di fosforo,non sono presenti nei sistemi biologici
Gli esteri si ottengono per mezzo di una reazione di esterificazione che avviene tra:,"un acido carbossilico o un acido ossigenato inorganico e un alcol, con eliminazione di acqua","un chetone e un'aldeide, con eliminazione di acqua","un chetone e un alcol, senza eliminazione di acqua","un etere e un alcol, senza eliminazione di acqua","due alcoli, con eliminazione di acqua"
"Per ottenere un'aldeide a partire da un acido carbossilico, quale reazione chimica è necessario compiere?",Riduzione,Ossidazione,Addizione nucleofila,Sostituzione nucleofila,Alogenazione
Le basi pirimidiniche degli acidi nucleici hanno una struttura basata su uno scheletro che è:,un eterociclo aromatico contenente 2 atomi di N,un eterociclo aromatico contenente 1 atomo di N,un eterociclo saturo contenente 2 atomi di N,un composto carbociclico aromatico,un composto carbociclico aromatico con un gruppo funzionale amminico
Qual è l'andamento dell'energia della radiazione elettromagnetica?,L'energia della radiazione aumenta al diminuire della lunghezza d'onda,L'energia della radiazione aumenta all'aumentare della lunghezza d'onda,L'energia della radiazione aumenta al diminuire della frequenza,L'energia della radiazione aumenta al diminuire del numero d'onda,L'energia della radiazione aumenta passando dai raggi X alle microonde
"Come è comunemente chiamata la molecola d'acqua nella quale, al posto degli atomi di idrogeno, si trovano atomi di deuterio?",Acqua pesante,Anidride deuterica,Deuterio pesante,Acqua addizionata,Acqua osmotizzata
"Nella cromatografia a scambio ionico, da che cosa sono costituiti gli scambiatori cationici?",Gruppi carichi negativamente legati all'impaccamento con legame covalente,Gruppi carichi positivamente legati all'impaccamento con legame covalente,Gruppi carichi positivamente legati all'impaccamento con legame ionico,Gruppi carichi nagativamente legati all'impaccamento con legame ionico,Impaccamento neutro costituito da un polimero
"L'alluminio è un metallo appartenente al periodo 3 e al gruppo 13. La sua massa atomica è 27 u. Qual è la massa di 0,05 mol di idruro di alluminio?","1,5 g","0,6 g","0,3 g","6,0 g","0,15 g"
Quale delle seguenti non è una tecnica cromatografica?,Tutte le alternative sono tecniche cromatografiche,Cromatografia su strato sottile (TLC),Gascromatografia,Cromatografia a fluido supercritico,Cromatografia per esclusione dimensionale
Quale tra i seguenti elementi ha il numero atomico maggiore?,Sodio,Litio,Elio,Fluoro,Idrogeno
Come viene anche comunemente chiamata la cromatografia ad esclusione molecolare?,Cromatografia a permeazione su gel,Cromatografia a scambio ionico,Cromatografia di affinità,Cromatografia su strato sottile,Cromatografia ad alta efficienza
Nella rappresentazione della molecola di acqua secondo la struttura di Lewis ci sono:,due legami singoli O-H e due coppie elettroniche solitarie sull’atomo di O,due legami singoli O-H e nessun doppietto elettronico non condiviso,un legame singolo O-H ed un legame dativo O-H,un legame s O-H e un legame p O-H,due legami singoli O-H e un doppietto elettronico solitario sull’atomo di O
Quale delle seguenti non è una tecnica cromatografica?,Cromatografia a doppio picco,Cromatografia di adsorbimento,Cromatografia di ripartizione,Cromatografia a scambio ionico,Cromatografia ad esclusione molecolare
Individuare quale delle seguenti affermazioni è corretta.,Il legame covalente dativo si stabilisce quando la coppia di elettroni condivisi viene fornita solo da uno dei due atomi che partecipano al legame,Il legame dativo è un legame ionico,Un legame triplo è formato da tre legami sigma,Gli alogeni hanno sempre valenza –1 in tutti i loro composti,Due atomi con diverso numero di protoni ma ugual numero di neutroni sono isotopi
Quanti atomi di carbonio contiene un eicosano?,20,18,16,14,12
"Una quantità pari a 60,8 g di Sr(OH)2 (MA di Sr = 87,6 u):","corrisponde a 0,5 moli","corrisponde a 0,58 moli di Sr(OH)2","contiene 0,5 moli di OH-","contiene 1,0 moli di Sr","contiene 0,75 moli di cariche elettriche positive"
Un grammo di sodio reagisce con 1.000 g di acqua dando luogo alla formazione di:,una soluzione acquosa basica,"una soluzione acquosa di ossido di sodio 1,0 M","una soluzione acquosa di ossido di sodio 1,0 m",un sale,ossigeno gassoso che si incendia a contatto dell'aria
L’ibridazione degli orbitali degli atomi di carbonio che formano un doppio legame negli alcheni è:,sp2,sp,s2p,sp3,sp2d
Indicare quale tra le seguenti affermazioni sul N2 è corretta. (massa atomica di N = 14 u),Una mole di N2 ha una massa di 28 g,Una mole di N2 ha una massa di 14 g,Una molecola di N2 ha una massa di 28 g,"Una mole di N2 occupa 44,818 L in condizioni standard",Nessuna delle altre alternative è corretta
"Indicare, tra le seguenti, soluzioni quale ha il pH minore.","HCl 0,8 M","HCl 0,1 M","HCl 0,01 M","NaOH 0,1 M","NaOH 0,5 M"
Tra i seguenti composti organici quale è maggiormente reattivo?,Cloroetano,Butano,Propano,Etano,Esano
Al composto che ha formula HBrO quale nome si deve assegnare secondo le regole IUPAC?,Acido monossobromico (I),Monossobromuro (VII),Acido monossobromoso (III),Acido monossobromuro (I),Idromonossobromico (II) acido
In che stato si trova l'azoto in condizioni standard?,Aeriforme,Liquido,Solido,Plasma,Vetroso
il simbolo del potassio è:,K,P,Pb,S,Mp
Bilanciare la seguente reazione inserendo i corretti coefficienti stechiometrici. a Na + b H2O → c NaOH + d H2,a=2; b=2; c=2; d=1,a=2; b=2; c=2; d=2,a=2; b=2; c=1; d=2,a=2; b=1; c=2; d=2,a=1; b=1; c=2; d=2
"Nella nomenclatura tradizionale dei composti binari, l'atomo con un unico numero di ossidazione positivo:",mantiene il nome inalterato,prende il suffisso -uro,prende il suffisso -ico,prende il prefisso per-,prende il prefisso -ipo
Come vengono definiti i composti formati soltanto dallo zolfo e un altro elemento meno elettronegativo?,Solfuri,Solfati,Solfiti,Solfoni,Solfossidi
"L'acido arachidonico è un omega-6 presente nell'organismo umano, nella sua struttura presenta:",4 doppi legami tra C5 e C14,6 doppi legami tra C3 e C12,3 doppi legami tra C5 e C14,2 doppi legami,5 doppi legami
"Secondo la teoria di Brønsted-Lowry l'acido coniugato di CO  2–:
3",HCO3–,"2–
non esiste perchè CO3     non è una base","–
H2CO3",H2CO3,"3–
CO2"
Il composto PH3 è:,un idruro covalente,un'anidride,un idrossido,un acido,un sale
Quale delle seguenti caratteristiche NON è applicabile a una sostanza che si trova allo stato liquido?,Conserva forma e volume propri,Non si espande fino a riempire il recipiente,È virtualmente incomprimibile,Diffonde solo lentamente,Fluisce con rapidità
Quale delle seguenti caratteristiche è attribuibile agli amminoacidi?,Sono composti anfoteri,Contengono tutti un carbonio chirale,Devono essere assunti tutti con la dieta,Non è possibile la loro sintesi in laboratorio,Non sono solubili in ambiente acquoso
In una semireazione di ossidazione di una reazione redox:,tutte le alternative sono corrette,il numero di ossidazione della specie coinvolta aumenta,la specie che reagisce cede elettroni,"la specie viene chiamata ""riducente""","il risultato è una specie ""ossidata"""
L'energia degli orbitali dell’atomo di C nel suo stato fondamentale:,cresce al crescere del numero quantico principale,decresce al crescere del numero quantico principale,è indipendente dal numero quantico principale,cresce in funzione del numero di spin,cresce al crescere del numero quantico l
In una catena carboniosa gli orbitali ibridizzati sp3 formano angoli di circa:,109°,87°,360°,115°,120°
Nel sistema di misurazione internazionale (SI) qual è l'unità fondamentale di temperatura?,Kelvin (K),Gradi Celsius (°C),Gradi Fahrenheit (F),Gradi Reaumur (°Re),Temperatura di Planck
In una reazione chimica il catalizzatore:,"Abbassa l’energia di attivazione, aumentando la velocità di reazione senza venire consumato durante la reazione",Aumenta l'energia cinetica delle molecole reagenti,"Aumenta l’energia di attivazione, spostando l’equilibrio verso la formazione dei prodotti",Modifica la velocità di reazione solo verso i prodotti,Annulla tutti gli stati di transizione andando direttamente ai prodotti
La pressione in una miscela di gas:,è data dalla somma delle pressioni parziali dei singoli gas,è data dal prodotto delle pressioni parziali dei singoli gas,è data dalla differenza tra la pressione del gas presente in misura maggiore e quella degli altri gas,non può essere calcolata ma solo misurata sperimentalmente,è inversamente proporzionali alla radice quadrata delle loro masse molecolari relative.
Una soluzione 1 M di glucosio in acqua si trova a 20 °C e 1 atm. In queste condizioni l'acqua è:,il solvente,un reagente,carica negativamente,carica positivamente,1 molare
La reazione di decarbossilazione dell'acido butanoico ha come prodotto:,il propano,l'etano,il butene,il butil-propil etere,l'aldeide butanoica
I due filamenti della doppia elica del DNA sono uniti da legami idrogeno tra basi complementari. Quali sono le coppie di basi azotate complementari?,Timina-adenina e guanina-citosina,Timina-citosina e guanina-adenina,Adenina-citosina e timina-guanina,Timina-timina e guanina-guanina,Citosina-citosina e adenina-adenina
"Tra i seguenti composti organici, qual è un amminoacido?",Glicina,Acido chelidonico,Reserpina,Urea,Acido pantotenico
Il nome tradizionale del composto Cl2O5 è:,Anidride clorica,Anidride clorosa,Anidride ipoclorica,Anidride perclorica,Anidride ipoclorosa
L'idrolisi di un'ammide primaria ha come prodotti:,ammoniaca e acidi carbossilici,ammoniaca ed alcoli,ammoniaca e chetoni,azoto molecolare ed eteri,ammine terziarie e chetoni
Si considerino due volumi uguali di gas differenti:,se hanno stessa temperatura e pressione hanno lo stesso numero di molecole,se hanno la stessa pressione e temperatura diversa hanno lo stesso numero di molecole,alla pressione di 1 bar hanno lo stesso numero di molecole,alla temperatura di 273 °K hanno la stesso numero di molecole,le condizioni sono diverse a seconda del tipo di gas
"Il bario è un metallo che appartiene al periodo 6 e al gruppo 2. Se la massa di 0,5 mol di idrossido di bario è 85,65 g, qual è la massa atomica del bario?","137,3 u","171,3 u","85,6 u","171,3 g/mol","135,3 g"
Il composto che ha formula Mg(H2BO3)2 come viene definito?,Sale acido di ossiacido,Ossido acido,Sale di idracido,Sale acido di idracido,Idrossido
"In uno spettro a infrarossi in trasformata di Fourier, quali grandezze si trovano in ordinata e in ascissa rispettivamente?",Percentuale di trasmittanza in funzione del numero d'onda,Percentuale di trasmittanza in funzione della lunghezza d'onda,Percentuale di assorbimento in funzione della lunghezza d'onda,Percentuale di assorbimento in funzione del numero d'onda,Percentuale di assorbimento in funzione del ritardo del segnale
Il numero di ossidazione del carbonio nel composto MgCO3 è:,4,–4,2,–2,6
"Sulla base della ""regola dell'incrocio"", nello scrivere la formula minima di un composto binario:","la carica del primo atomo diventa l'indice del secondo, mentre l'indice del primo la carica del secondo",le cariche dei due atomi sono la metà del loro indice,la somma degli indici degli atomi diventano il coefficiente stechiometrico della molecola,non è importante l'ordine degli elementi che possono essere incrociati tra loro,Nessuna delle altre alternative è corretta
Il numero di ossidazione delle sostanze elementari è sempre:,uguale a 0,pari a 1,positivo,negativo,uguale al periodo a cui appartiene l'elemento
"A 101,3 kPa e 293,15 K, una soluzione acquosa di fluoruro di cesio ha pH
= 8,3. Quale delle seguenti affermazioni riguardanti la soluzione è corretta?",L'acido fluoridrico è un acido debole mentre l'idrossido di cesio è una base forte,Il fluoruro di cesio in soluzione acquosa non provoca idrolisi,Il fluoruro di cesio non è un sale,L'acido fluoridrico è un acido debole e l'idrossido di cesio è una base debole,L'acido fluoridrico è un acido forte e l'idrossido di cesio è una base forte
"Che cosa si intende per ""risoluzione"" di una miscela racemica?",La separazione degli enantiomeri,La rotazione ottica complessiva della miscela,La conformazione dell'isomero prevalente nella miscela,La solubilità degli isomeri nel solvente della loro reazione di sintesi,La generazione di una struttura chirale in una reazione
Secondo la teoria di Brønsted e Lowry:,un acido dona protoni a una base che li acquista,un acido è capace di acquistare un doppietto elettronico e una base di cederlo,gli elettroni si dispongono a occupare il massimo numero di orbitali di un sottolivello,un orbitale può ospitare al massimo due elettroni con spin opposto,la massa dei reagenti è uguale alla massa dei prodotti
"Tra i seguenti composti organici, quale NON è un amminoacido?",Pirimidina,Acido aspartico,Treonina,Triptofano,Istidina
Che numero di ossidazione ha il cloro nell'acido HClO4?,7,5,1,3,–1
Quali delle seguenti caratteristiche sono attribuibili a una soluzione elettrolitica?,È in grado di condurre la corrente elettrica,Il solvente è sempre un composto apolare,È sempre una soluzione in solvente organico,Ha un punto di ebollizione più basso del solvente da solo,Non può essere una soluzione acquosa
Qual è il numero di ossidazione del Manganese nel composto KMnO4?,7,6,2,3,4
Quale delle seguenti caratteristiche appartiene a una miscela racemica?,Non provoca alcuna rotazione del piano della luce polarizzata,Provoca una rotazione destrogira del piano della luce polarizzata,Provoca una rotazione levogira del piano della luce polarizzata,Non contiene composti otticamente attivi,Uno dei due componenti della miscela è presente in grande eccesso sull'altro
"Amido e cellulosa sono entrambi polisaccaridi naturali, per quale caratteristica si differenziano?",Il legame α o β-glicosidico che lega le unità di glucosio,"L'amido è formato esclusivamente da glucosio, la cellulosa anche da altri zuccheri","La cellulosa è formata esclusivamente da glucosio, l'amido anche da altri zuccheri","L'amido è una catena lineare, la cellulosa è una catena ramificata","La cellulosa è solubile in acqua, l'amido lo è solo in minima misura"
